epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,177.52,1.43502,3.26668,1.35376,1.629,0.56936,0.47368,0.55198,0.27479,0.78649,0.34902,0.45761,0.21882,1.65255,3.21688,1.53961,2.1242,0.0014258,0.0014258,0.0014258
31,183.355,1.44467,3.28086,1.38034,1.63247,0.65842,0.42614,0.51176,0.23191,0.62599,0.37895,0.40023,0.20073,1.7311,3.23962,1.74441,2.24101,0.001406,0.001406,0.001406
32,189.116,1.42536,3.18296,1.37241,1.64642,0.66861,0.47368,0.53361,0.23243,0.53835,0.36842,0.37861,0.15479,1.74082,3.22968,1.79189,2.16582,0.0013862,0.0013862,0.0013862
33,195.028,1.34051,3.08754,1.26839,1.57154,0.66859,0.55789,0.61091,0.33617,0.60883,0.49154,0.48059,0.2214,1.47877,3.17057,1.45726,2.03711,0.0013664,0.0013664,0.0013664
34,200.956,1.38724,3.21143,1.27702,1.59343,0.69351,0.51579,0.62578,0.33642,0.81358,0.45943,0.53362,0.2397,1.49709,2.98161,1.41945,2.00565,0.0013466,0.0013466,0.0013466
35,206.866,1.30614,3.1232,1.23214,1.52563,0.70395,0.51579,0.60373,0.31617,0.72192,0.49474,0.53187,0.24655,1.61478,3.30387,1.41615,2.0943,0.0013268,0.0013268,0.0013268
36,212.708,1.29545,3.04369,1.19844,1.53787,0.87744,0.50526,0.63801,0.34335,0.79823,0.43158,0.52668,0.23192,1.59741,3.24367,1.42619,2.06849,0.001307,0.001307,0.001307
37,218.535,1.35951,3.06,1.26892,1.57649,0.79535,0.57278,0.68819,0.36877,0.70711,0.48286,0.51252,0.26114,1.56491,3.09387,1.30491,2.01108,0.0012872,0.0012872,0.0012872
38,224.512,1.34919,3.05501,1.23746,1.57102,0.69283,0.56842,0.64172,0.33412,0.65663,0.53684,0.52483,0.2645,1.60905,3.18595,1.40901,2.12188,0.0012674,0.0012674,0.0012674
39,230.348,1.32649,3.06971,1.27032,1.57246,0.6792,0.52632,0.62273,0.33033,0.63839,0.45263,0.49906,0.26326,1.58293,3.0918,1.4377,2.09359,0.0012476,0.0012476,0.0012476
40,236.152,1.34004,3.0654,1.237,1.56601,0.50411,0.67368,0.61191,0.35464,0.7598,0.36842,0.48391,0.25895,1.50135,3.06745,1.3919,1.93142,0.0012278,0.0012278,0.0012278
41,241.956,1.32983,3.01249,1.26738,1.54842,0.72801,0.49474,0.62799,0.33576,0.63941,0.41053,0.48729,0.24644,1.50742,3.17211,1.40846,1.92776,0.001208,0.001208,0.001208
42,247.744,1.30018,3.00679,1.22813,1.55349,0.56817,0.62325,0.59184,0.30767,0.61978,0.44616,0.5071,0.24348,1.59803,3.15004,1.39939,2.03675,0.0011882,0.0011882,0.0011882
43,253.591,1.22571,2.92532,1.1359,1.49205,0.61544,0.65702,0.66777,0.3444,0.76944,0.49184,0.57564,0.27163,1.46372,2.96848,1.34018,2.02791,0.0011684,0.0011684,0.0011684
44,259.484,1.38863,3.11759,1.23753,1.59825,0.79383,0.56743,0.68282,0.36408,0.72312,0.51579,0.56628,0.26367,1.58133,3.185,1.36531,2.10006,0.0011486,0.0011486,0.0011486
45,265.369,1.25585,2.98279,1.14552,1.49989,0.75052,0.57895,0.66489,0.39586,0.77845,0.55481,0.59594,0.28141,1.37913,3.13281,1.33052,1.87183,0.0011288,0.0011288,0.0011288
46,271.346,1.18151,2.92945,1.0658,1.44775,0.76669,0.62105,0.71135,0.38346,0.71375,0.61053,0.65095,0.27884,1.44737,3.04742,1.28823,1.9103,0.001109,0.001109,0.001109
47,277.094,1.22869,2.87413,1.06631,1.46923,0.65459,0.65263,0.67709,0.36591,0.65093,0.56842,0.56988,0.28465,1.42644,2.98835,1.28085,1.83647,0.0010892,0.0010892,0.0010892
48,282.868,1.37978,2.98512,1.18084,1.58169,0.70726,0.64211,0.67698,0.38454,0.69015,0.6096,0.61934,0.29761,1.41072,2.93933,1.26459,1.92294,0.0010694,0.0010694,0.0010694
49,288.943,1.25174,2.93199,1.16615,1.50784,0.65939,0.61135,0.65689,0.39719,0.63251,0.57977,0.57519,0.27752,1.41354,2.83918,1.22822,1.89922,0.0010496,0.0010496,0.0010496
50,294.752,1.22405,3.00607,1.15417,1.48327,0.71962,0.67368,0.72898,0.43034,0.65594,0.6,0.61655,0.31573,1.22922,2.67104,1.18586,1.75047,0.0010298,0.0010298,0.0010298
51,300.716,1.21632,2.91047,1.08914,1.45669,0.65492,0.67368,0.71992,0.44249,0.80887,0.52632,0.60393,0.31247,1.21618,2.68587,1.13097,1.72486,0.00101,0.00101,0.00101
52,306.636,1.11418,2.81253,1.00801,1.40448,0.6542,0.74737,0.72801,0.42626,0.75698,0.64211,0.66763,0.30544,1.25887,2.79848,1.19852,1.77247,0.0009902,0.0009902,0.0009902
