epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1074.2,1.06768,0.84982,1.44277,0.99378,0.98625,0.99264,0.72496,0.98743,0.55515,1.56283,0.0011882,0.0011882,0.0011882
43,1101.17,1.04729,0.81226,1.43216,0.99184,0.99383,0.99451,0.75424,0.95197,0.54057,1.53064,0.0011684,0.0011684,0.0011684
44,1125.46,1.06481,0.8292,1.44886,0.95642,0.95062,0.98253,0.71171,1.04106,0.63693,1.64854,0.0011486,0.0011486,0.0011486
45,1145.08,1.05408,0.84833,1.4405,0.98697,0.99383,0.99481,0.70171,1.04963,0.58446,1.6191,0.0011288,0.0011288,0.0011288
46,1164.85,1.02852,0.81675,1.42877,0.99381,0.99158,0.99302,0.7201,1.00247,0.56205,1.57781,0.001109,0.001109,0.001109
47,1184.82,1.00221,0.77147,1.39406,0.98266,0.98148,0.99353,0.74373,0.97923,0.53658,1.57198,0.0010892,0.0010892,0.0010892
48,1204.63,1.04445,0.80586,1.44465,0.9878,0.99929,0.99393,0.75483,0.92145,0.52984,1.48011,0.0010694,0.0010694,0.0010694
49,1224.15,1.00285,0.78941,1.40271,0.97517,0.96955,0.98796,0.76055,0.86929,0.53717,1.49996,0.0010496,0.0010496,0.0010496
50,1243.61,0.98889,0.80407,1.40227,0.96372,0.98397,0.99262,0.74618,0.92993,0.54009,1.48172,0.0010298,0.0010298,0.0010298
51,1264.61,0.99261,0.78217,1.40282,0.95865,0.98148,0.99032,0.75717,0.90796,0.52983,1.48125,0.00101,0.00101,0.00101
52,1284.45,0.95041,0.75363,1.36586,0.99306,1,0.995,0.76938,0.87758,0.52094,1.45714,0.0009902,0.0009902,0.0009902
53,1303.62,0.95766,0.7446,1.36329,0.98168,0.9924,0.99475,0.76879,0.89597,0.51568,1.4775,0.0009704,0.0009704,0.0009704
54,1322.8,0.96584,0.72182,1.37706,0.99038,0.97531,0.99388,0.80042,0.83976,0.4876,1.42526,0.0009506,0.0009506,0.0009506
55,1342.19,0.9567,0.73277,1.39076,0.98623,0.99383,0.99463,0.7818,0.81713,0.48643,1.43132,0.0009308,0.0009308,0.0009308
56,1361.96,0.94077,0.70986,1.33851,0.98763,0.98576,0.99463,0.72415,1.0194,0.51305,1.53819,0.000911,0.000911,0.000911
57,1381.11,0.90724,0.70466,1.33682,0.99023,0.98765,0.99482,0.79544,0.83553,0.47043,1.41302,0.0008912,0.0008912,0.0008912
58,1401.08,0.87608,0.67718,1.31061,0.98067,0.98765,0.99224,0.81785,0.77947,0.45824,1.36568,0.0008714,0.0008714,0.0008714
59,1420.15,0.88559,0.66109,1.31348,0.98161,0.98874,0.99356,0.7737,0.86276,0.46346,1.43299,0.0008516,0.0008516,0.0008516
60,1438.84,0.9199,0.70578,1.35905,0.98259,0.98148,0.99445,0.81028,0.77647,0.44789,1.33829,0.0008318,0.0008318,0.0008318
61,1458.34,0.88423,0.6764,1.31176,0.99525,1,0.995,0.78686,0.85124,0.45211,1.40816,0.000812,0.000812,0.000812
62,1478.07,0.90237,0.68078,1.3284,0.98778,0.99761,0.99469,0.79463,0.80766,0.45359,1.35644,0.0007922,0.0007922,0.0007922
63,1497.32,0.86963,0.65098,1.29882,0.98563,0.99383,0.99475,0.81381,0.74537,0.4197,1.33951,0.0007724,0.0007724,0.0007724
64,1516.21,0.86263,0.64458,1.29573,0.99386,0.99898,0.99475,0.82262,0.71087,0.41527,1.28267,0.0007526,0.0007526,0.0007526
65,1536.11,0.85087,0.64683,1.28991,0.9878,0.99991,0.99457,0.82349,0.74778,0.43036,1.32671,0.0007328,0.0007328,0.0007328
66,1556.13,0.85032,0.62796,1.3013,0.99056,0.99383,0.99494,0.84954,0.67519,0.41069,1.25573,0.000713,0.000713,0.000713
67,1575.82,0.84353,0.64423,1.27955,0.99323,1,0.995,0.82913,0.72087,0.41247,1.29419,0.0006932,0.0006932,0.0006932
68,1600.91,0.82053,0.61293,1.26852,0.99289,1,0.99451,0.84469,0.69057,0.40015,1.26898,0.0006734,0.0006734,0.0006734
69,1627.52,0.82062,0.60758,1.25821,0.99334,1,0.995,0.85779,0.66568,0.39539,1.24766,0.0006536,0.0006536,0.0006536
70,1653.22,0.81127,0.6059,1.25649,0.9988,1,0.995,0.80869,0.77947,0.42344,1.31791,0.0006338,0.0006338,0.0006338
71,1678.61,0.79945,0.61112,1.25353,0.99101,0.98765,0.99407,0.85789,0.65887,0.40431,1.24093,0.000614,0.000614,0.000614
72,1704.23,0.7817,0.58976,1.24189,1,0.99959,0.995,0.81767,0.74079,0.41785,1.30241,0.0005942,0.0005942,0.0005942
73,1730.73,0.79698,0.58737,1.24834,0.99299,1,0.99494,0.84776,0.67206,0.39895,1.24943,0.0005744,0.0005744,0.0005744
74,1758.03,0.79912,0.59059,1.26292,0.99334,1,0.995,0.85333,0.66102,0.37731,1.24395,0.0005546,0.0005546,0.0005546
75,1786.15,0.75584,0.56118,1.22742,0.99582,0.99383,0.995,0.85982,0.62859,0.38763,1.21447,0.0005348,0.0005348,0.0005348
76,1813.06,0.75529,0.57373,1.23482,0.99572,1,0.995,0.86562,0.5928,0.36323,1.1792,0.000515,0.000515,0.000515
77,1840.1,0.75751,0.56768,1.23688,0.99872,1,0.995,0.86285,0.60792,0.36392,1.19211,0.0004952,0.0004952,0.0004952
78,1866.51,0.73723,0.55011,1.22153,0.98182,0.99993,0.99488,0.87031,0.62151,0.37465,1.19281,0.0004754,0.0004754,0.0004754
79,1892.58,0.74235,0.56355,1.23068,0.99371,1,0.995,0.87507,0.58757,0.35402,1.17081,0.0004556,0.0004556,0.0004556
80,1917.56,0.71478,0.54206,1.19863,0.9995,1,0.995,0.87883,0.5925,0.35334,1.18214,0.0004358,0.0004358,0.0004358
81,1942.22,0.75377,0.55818,1.2333,0.9994,1,0.995,0.8727,0.60899,0.36242,1.18402,0.000416,0.000416,0.000416
82,1965.78,0.70487,0.53483,1.20229,0.99933,1,0.995,0.86615,0.62183,0.3666,1.19564,0.0003962,0.0003962,0.0003962
83,1991.41,0.7032,0.53272,1.19435,0.99997,1,0.995,0.84853,0.65437,0.37754,1.21702,0.0003764,0.0003764,0.0003764
84,2016.39,0.72162,0.53676,1.20106,0.99855,1,0.995,0.86363,0.63282,0.35462,1.19828,0.0003566,0.0003566,0.0003566
85,2035.68,0.6834,0.51327,1.17736,0.99931,1,0.995,0.88156,0.56775,0.34877,1.14374,0.0003368,0.0003368,0.0003368
86,2055.23,0.68465,0.51986,1.19298,0.99382,0.99302,0.99475,0.87677,0.57219,0.3482,1.14808,0.000317,0.000317,0.000317
87,2075.26,0.68731,0.51029,1.17076,0.99363,1,0.995,0.88679,0.55597,0.33076,1.12929,0.0002972,0.0002972,0.0002972
88,2094.14,0.69339,0.51652,1.19594,0.99371,1,0.995,0.88597,0.57849,0.3434,1.1553,0.0002774,0.0002774,0.0002774
89,2113.28,0.65094,0.51301,1.15771,0.99951,1,0.995,0.88186,0.58213,0.34404,1.15269,0.0002576,0.0002576,0.0002576
90,2131.98,0.65116,0.49626,1.16524,0.9985,1,0.995,0.88538,0.55882,0.34372,1.13553,0.0002378,0.0002378,0.0002378
91,2193.51,0.578,0.39802,1.19932,0.98987,1,0.99494,0.87287,0.57288,0.34814,1.15243,0.000218,0.000218,0.000218
92,2213.84,0.59431,0.3875,1.24351,0.99898,1,0.995,0.88407,0.54684,0.34038,1.12793,0.0001982,0.0001982,0.0001982
93,2232.68,0.54607,0.34527,1.15125,0.99884,1,0.995,0.87989,0.54237,0.32385,1.12383,0.0001784,0.0001784,0.0001784
94,2251.31,0.54846,0.33869,1.18897,0.99899,1,0.995,0.88608,0.5272,0.31804,1.11814,0.0001586,0.0001586,0.0001586
95,2270.12,0.5198,0.32968,1.14599,1,0.9994,0.995,0.89955,0.49965,0.31134,1.09532,0.0001388,0.0001388,0.0001388
96,2288.51,0.51212,0.32978,1.14809,0.9995,1,0.995,0.89645,0.50928,0.31031,1.09546,0.000119,0.000119,0.000119
97,2307.25,0.50232,0.32141,1.12717,0.99945,1,0.995,0.90434,0.49974,0.30704,1.08471,9.92e-05,9.92e-05,9.92e-05
98,2325.88,0.48747,0.32066,1.12392,0.99949,1,0.995,0.91024,0.4777,0.30082,1.06987,7.94e-05,7.94e-05,7.94e-05
99,2345.41,0.49495,0.31813,1.12765,0.99951,1,0.995,0.91016,0.47699,0.30509,1.07128,5.96e-05,5.96e-05,5.96e-05
100,2363.76,0.47905,0.32043,1.12439,0.99955,1,0.995,0.91138,0.47178,0.30228,1.06715,3.98e-05,3.98e-05,3.98e-05
